City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,anar darah,32.7587,61.654,302.04,28,0,9.83,AF,1720839073
148,hermanus,-34.4187,19.2345,280.82,78,83,2.96,ZA,1720839075
149,kingston,17.997,-76.7936,302.68,74,20,4.12,JM,1720838840
150,mirnyy,62.5353,113.9611,297.93,46,3,5.3,RU,1720839079
151,college,64.8569,-147.8028,298.4,33,75,2.57,US,1720839082
152,port alfred,-33.5906,26.891,285.47,78,4,2.17,ZA,1720839084
153,hasaki,35.7333,140.8333,304.42,76,91,3.68,JP,1720839086
154,novyy urgal,51.0736,132.5642,297.3,38,9,1.39,RU,1720839088
155,saint-philippe,-21.3585,55.7679,291.92,76,40,5.45,RE,1720839090
156,west island,-12.1568,96.8225,302.14,70,20,7.2,CC,1720839093
157,ebon,4.582,168.6964,302.09,75,100,6.0,MH,1720839097
158,souillac,-20.5167,57.5167,296.36,64,75,4.12,MU,1720839099
159,choyr,46.3611,108.3611,297.88,46,8,2.51,MN,1720839102
160,altamont,42.2068,-121.7372,305.31,29,0,2.24,US,1720839105
161,temerluh,3.4506,102.4176,300.36,97,99,1.21,MY,1720839109
162,acapulco de juarez,16.8634,-99.8901,297.11,87,100,1.51,MX,1720838940
163,caleta de carquin,-11.0925,-77.6267,289.87,82,58,4.63,PE,1720839114
164,starobaltachevo,56.0013,55.9213,288.11,82,100,7.04,RU,1720839117
165,mogok,22.9167,96.5,293.99,81,100,1.43,MM,1720839119
166,thompson,55.7435,-97.8558,293.24,64,75,1.54,CA,1720839121
167,knysna,-34.0363,23.0471,285.79,73,96,0.42,ZA,1720839124
168,port mathurin,-19.6833,63.4167,295.43,67,71,12.23,MU,1720839127
169,naze,28.3667,129.4833,303.66,71,65,6.1,JP,1720839129
170,georgetown,5.4112,100.3354,303.11,70,20,2.57,MY,1720839131
171,boende,-0.2167,20.8667,295.57,94,60,0.97,CD,1720839133
172,ayame,5.6083,-3.1563,294.98,97,73,1.39,CI,1720839136
173,kruisfontein,-34.0033,24.7314,282.53,67,98,0.5,ZA,1720839139
174,bargaal,11.2864,51.0773,302.31,58,87,11.17,SO,1720839141
175,severo-yeniseyskiy,60.3725,93.0408,293.44,51,79,2.22,RU,1720839142
176,thurso,58.5927,-3.5259,284.29,96,100,4.21,GB,1720839144
177,sibay,52.7181,58.6658,290.5,94,90,8.16,RU,1720839147
178,hamilton,39.1834,-84.5333,298.08,88,0,0.0,US,1720839148
